Name Lat Lon S-SSE_trem_N S-SSE_trem_E S-SSE_trem_U std_S-SSE_trem_N std_S-SSE_trem_E std_S-SSE_trem_U L-SSE_trem_N L-SSE_trem_E L-SSE_trem_U std_L-SSE_trem_N std_L-SSE_trem_E std_L-SSE_trem_U L-SSE_inter_N L-SSE_inter_E L-SSE_inter_U std_L-SSE_inter_N std_L-SSE_inter_E std_L-SSE_inter_U Inter-Seismic_1_N Inter-Seismic_1_E Inter-Seismic_1_U std_Inter-Seismic_1_N std_Inter-Seismic_1_E std_Inter-Seismic_1_U Inter-Seismic_2_N Inter-Seismic_2_E Inter-Seismic_2_U std_Inter-Seismic_2_N std_Inter-Seismic_2_E std_Inter-Seismic_2_U
OAX2 17.078340 -96.716739 0.002121 -0.006755 2.573400 0.005653 0.001588 17.275591 -0.023144 -0.041950 -22.551583 0.008992 0.007108 25.161824 -0.014317 -0.006349 -22.551583 0.007108 0.006805 25.161824 0.008863 0.014125 -0.001660 0.002021 0.002398 0.007806 0.007680 0.018269 -0.002427 0.001581 0.001660 0.005001 
OAXA 17.072547 -96.733012 0.004542 -0.001920 -10.466967 0.005826 0.002332 18.422818 -0.024161 -0.021483 -9.776805 0.011892 0.010023 31.881703 0.012440 -0.015289 -9.776805 0.010023 0.010845 31.881703 0.007865 0.013424 0.001392 0.002187 0.002967 0.005791 0.006742 0.017978 0.007556 0.002364 0.002108 0.006099 
OXAC 18.130143 -98.041132 0.001745 -0.016131 -42.130747 0.005061 0.001898 18.928078 -0.024744 -0.037470 22.986871 0.016610 0.012607 31.830707 0.006441 0.009800 22.986871 0.012607 0.013222 31.830707 0.002781 0.007681 0.009761 0.001764 0.002239 0.005612 0.003002 0.017661 0.025291 0.001903 0.001606 0.005986 
OXEC 16.519969 -96.054883 0.015599 -0.015022 -22.941657 0.006172 0.002796 22.263530 0.013819 -0.041382 75.852318 0.019032 0.024163 60.724749 -0.029580 0.006042 75.852318 0.024163 0.021565 60.724749 0.008606 0.012713 -0.001265 0.001963 0.002221 0.006007 -0.001725 0.024223 0.007478 0.002771 0.002390 0.009019 
OXGU 16.631529 -96.910879 0.022562 0.000145 26.341847 0.008012 0.002949 22.404085 -0.024231 -0.045693 -17.457298 0.014236 0.015094 40.413710 -0.005907 0.016071 -17.457298 0.015094 0.012220 40.413710 0.010804 0.017048 -0.013720 0.002913 0.003217 0.008154 0.001252 0.015662 -0.017428 0.003012 0.002495 0.006810 
OXLP 16.141751 -97.051123 0.056405 0.000262 -34.923262 0.013576 0.007182 49.638244 -0.006690 -0.036463 -37.294074 0.014433 0.014010 38.567750 -0.024338 0.034931 -37.294074 0.014010 0.011678 38.567750 0.014713 0.022675 -0.022929 0.003848 0.003479 0.012808 0.007131 0.029132 -0.052855 0.003209 0.003163 0.019414 
OXMA 16.710274 -98.611638 0.001932 -0.006484 -6.619389 0.009795 0.004787 30.230963 -0.040277 -0.050860 44.204669 0.014377 0.011703 27.898505 0.013079 -0.003527 44.204669 0.011703 0.011701 27.898505 0.016755 0.017610 0.006304 0.001954 0.003617 0.005534 0.010990 0.028654 -0.008213 0.002776 0.002504 0.013988 
OXNC 17.399566 -97.217867 --- --- --- --- --- --- 0.003936 -0.036211 4.128180 0.013697 0.017220 53.804285 -0.005470 -0.030569 4.128180 0.017220 0.013160 53.804285 --- --- --- --- --- --- --- --- --- --- --- --- 
OXP2 16.993204 -97.932749 --- --- --- --- --- --- -0.080346 -0.042371 -10.069417 0.014501 0.013295 33.801809 0.030462 0.018247 -10.069417 0.013295 0.009701 33.801809 --- --- --- --- --- --- --- --- --- --- --- --- 
OXPE 15.888687 -97.075261 0.005796 -0.007667 10.984136 0.008831 0.003680 18.254591 --- --- --- --- --- --- --- --- --- --- --- --- 0.017755 0.027661 -0.008601 0.002006 0.003217 0.006909 0.016255 0.036207 -0.031419 0.003677 0.003780 0.012525 
OXTP 17.625607 -98.446277 -0.014010 -0.009676 13.113137 0.009051 0.003413 31.924995 -0.052218 -0.064828 -38.444230 0.010018 0.009486 23.448659 -0.006307 -0.012088 -38.444230 0.009486 0.008946 23.448659 0.010277 0.013476 0.005450 0.002211 0.001715 0.005906 0.010277 0.013476 0.005450 0.002211 0.001715 
OXUM 15.662246 -96.499028 0.008660 -0.008155 13.645077 0.012409 0.006086 27.637402 -0.007743 -0.039000 -11.965898 0.049597 0.011040 33.312109 0.004300 -0.007386 -11.965898 0.011040 0.030976 33.312109 0.014432 0.020512 -0.008465 0.001951 0.002361 0.005561 0.010668 0.020926 -0.009522 0.003155 0.002808 0.019472 
PEIG 15.997694 -97.147546 0.005057 -0.009097 -8.612567 0.022981 0.009054 45.742765 -0.004853 -0.019386 62.136209 0.012600 0.006377 23.633164 -0.008532 -0.021819 62.136209 0.006377 0.007439 23.633164 0.014684 0.028095 -0.007550 0.001999 0.002447 0.008774 0.011701 0.028493 -0.012136 0.002879 0.003090 0.023060 
PINO 16.392776 -98.127349 -0.011693 -0.013405 11.746254 0.012814 0.003498 57.835260 -0.005144 -0.032795 44.169685 0.013462 0.007979 30.581377 -0.006321 0.005650 44.169685 0.007979 0.010368 30.581377 0.012681 0.020590 -0.010721 0.002671 0.003372 0.007902 0.014875 0.024964 -0.016837 0.003518 0.004062 0.011656 
PUAN 15.665358 -96.491630 0.015205 -0.011414 39.621582 0.015862 0.010545 37.575050 0.030331 -0.002214 72.288931 0.019019 0.020064 39.790148 -0.016895 0.006928 72.288931 0.020064 0.018589 39.790148 0.011142 0.020453 -0.005128 0.001966 0.002008 0.005045 0.005432 0.024434 -0.017549 0.003246 0.003260 0.021254 
SLUI 16.811282 -98.741245 0.004436 -0.003610 26.573835 0.014557 0.010665 37.335409 -0.034816 -0.041531 4.596965 0.017112 0.014570 33.714603 -0.007668 -0.030781 4.596965 0.014570 0.011493 33.714603 0.010862 0.024865 -0.004496 0.004020 0.001959 0.009138 0.011743 0.026163 -0.006884 0.003589 0.003248 0.026915 
TLIG 17.562000 -98.566000 -0.020013 -0.027982 -6.798909 0.010293 0.003724 47.012279 -0.013317 -0.055458 5.531811 0.010225 0.008499 31.578342 -0.021639 -0.002374 5.531811 0.008499 0.007634 31.578342 0.010318 0.016945 0.013885 0.002530 0.002409 0.008746 0.010318 0.016945 0.013885 0.002530 0.002409 0.008746 
TNAT 18.130210 -98.041130 --- --- --- --- --- --- 0.002638 0.003216 -4.632911 0.018056 0.016771 28.756524 -0.012753 -0.016777 -4.632911 0.016771 0.011287 28.756524 --- --- --- --- --- --- --- --- --- --- --- ---
TNCY 16.058500 -97.758900 0.016123 -0.011926 30.209199 0.014382 0.013817 42.208849 --- --- --- --- --- --- --- --- --- --- --- --- 0.009962 0.011219 -0.003645 0.003075 0.002096 0.006685 0.003463 0.017288 0.004970 0.002683 0.001476 0.058763 
TNMQ 16.710400 -98.611600 --- --- --- --- --- --- -0.062349 -0.066934 10.325388 0.017597 0.017824 34.952739 -0.038605 -0.047508 10.325388 0.017824 0.015083 34.952739 --- --- --- --- --- --- --- --- --- --- --- ---
TNNX 17.407600 -97.223900 -0.024799 -0.014266 -21.311194 0.016176 0.013695 59.510465 -0.015429 -0.041481 9.763636 0.014936 0.007277 23.777861 -0.014093 -0.008419 9.763636 0.007277 0.012563 23.777861 0.007455 0.010995 0.000765 0.002006 0.002683 0.004729 0.016038 0.011038 0.007445 0.003535 0.002775 0.052681 
